timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732800281598,2424,HTTP Request,200,OK,JmeterScripttesting 1-1,text,true,,7498,208,86,86,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2423,0,1583
1732800282373,1650,HTTP Request,200,OK,JmeterScripttesting 1-52,text,true,,7486,208,86,86,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1649,0,773
1732800281994,2029,HTTP Request,200,OK,JmeterScripttesting 1-33,text,true,,7486,208,86,86,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2028,0,1140
1732800281856,2169,HTTP Request,200,OK,JmeterScripttesting 1-26,text,true,,7493,208,84,84,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2169,0,1287
1732800281714,2312,HTTP Request,200,OK,JmeterScripttesting 1-19,text,true,,7484,208,84,84,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2311,0,1472
1732800281955,2071,HTTP Request,200,OK,JmeterScripttesting 1-31,text,true,,7494,208,84,84,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2070,0,1210
1732800282495,1532,HTTP Request,200,OK,JmeterScripttesting 1-58,text,true,,7490,208,80,80,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1531,0,631
1732800281897,2135,HTTP Request,200,OK,JmeterScripttesting 1-28,text,true,,7487,208,79,79,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2134,0,1242
1732800281598,2434,HTTP Request,200,OK,JmeterScripttesting 1-2,text,true,,7488,208,79,79,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2433,0,1585
1732800282236,1805,HTTP Request,200,OK,JmeterScripttesting 1-45,text,true,,7490,208,78,78,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1795,0,952
1732800282654,1451,HTTP Request,200,OK,JmeterScripttesting 1-66,text,true,,7488,208,80,80,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1445,0,515
